Country or Area,Year,Value
Australia,2020,400333.4666
Australia,2019,416761.9334
Australia,2018,416283.8274
Australia,2017,414358.3115
Australia,2016,411264.2877
Australia,2015,401793.0625
Australia,2014,393952.8756
Australia,2013,397887.4584
Australia,2012,406150.91
Australia,2011,403828.7727
Australia,2010,405103.3205
Australia,2009,407065.0149
Australia,2008,404233.0666
Australia,2007,399624.8027
Australia,2006,392384.3022
Australia,2005,386153.5331
Australia,2004,382820.8901
Australia,2003,369279.5123
Australia,2002,361540.8102
Australia,2001,357132.3675
Australia,2000,349635.4869
Australia,1999,343488.6329
Australia,1998,334075.9781
Australia,1997,320282.6295
Australia,1996,311886.129
Australia,1995,305002.9955
Australia,1994,293696.5531
Australia,1993,288870.5368
Australia,1992,284525.3446
Australia,1991,279528.5101
Australia,1990,278154.1563
Austria,2021,66018.63192
Austria,2020,62121.25141
Austria,2019,67956.15763
Austria,2018,66571.8924
Austria,2017,69608.66692
Austria,2016,67226.57468
Austria,2015,66365.64133
Austria,2014,64175.90012
Austria,2013,67776.04193
Austria,2012,67282.9198
Austria,2011,69909.25784
Austria,2010,72017.32264
Austria,2009,67315.32953
Austria,2008,73495.4663
Austria,2007,74117.79566
Austria,2006,76817.41428
Austria,2005,79097.39919
Austria,2004,77699.20835
Austria,2003,77401.89318
Austria,2002,71974.93691
Austria,2001,70171.31856
Austria,2000,66171.71962
Austria,1999,65671.31074
Austria,1998,66920.02999
Austria,1997,67285.12556
Austria,1996,67388.5546
Austria,1995,64044.05855
Austria,1994,61066.64302
Austria,1993,60692.12767
Austria,1992,60266.15019
Austria,1991,65765.65596
Austria,1990,62167.15967
Belarus,2021,60938.19691
Belarus,2020,59055.55093
Belarus,2019,62096.34374
Belarus,2018,62156.93245
Belarus,2017,59381.85268
Belarus,2016,58134.48309
Belarus,2015,58798.91147
Belarus,2014,63648.87369
Belarus,2013,64125.55613
Belarus,2012,62545.26376
Belarus,2011,61307.58937
Belarus,2010,62445.12046
Belarus,2009,60577.74491
Belarus,2008,62836.40856
Belarus,2007,60218.14133
Belarus,2006,61743.58708
Belarus,2005,59310.28559
Belarus,2004,58253.53068
Belarus,2003,55087.98691
Belarus,2002,53844.14364
Belarus,2001,54002.98151
Belarus,2000,54905.98293
Belarus,1999,57965.50697
Belarus,1998,60073.4475
Belarus,1997,61588.41488
Belarus,1996,61734.78374
Belarus,1995,60905.64226
Belarus,1994,67879.3995
Belarus,1993,80561.81536
Belarus,1992,93482.97424
Belarus,1991,104071.6559
Belarus,1990,108345.0551
Belgium,2021,95668.0807
Belgium,2020,91101.38727
Belgium,2019,99470.25973
Belgium,2018,99967.32362
Belgium,2017,99055.03986
Belgium,2016,99623.02596
Belgium,2015,101145.6328
Belgium,2014,97029.24733
Belgium,2013,102714.7469
Belgium,2012,102404.5193
Belgium,2011,105068.5551
Belgium,2010,114604.1061
Belgium,2009,107765.103
Belgium,2008,120170.0361
Belgium,2007,120463.2686
Belgium,2006,123872.9818
Belgium,2005,125627.9216
Belgium,2004,128770.8211
Belgium,2003,128248.3298
Belgium,2002,126863.0135
Belgium,2001,126066.0624
Belgium,2000,126721.5438
Belgium,1999,124681.1402
Belgium,1998,130223.4972
Belgium,1997,123990.6214
Belgium,1996,129478.7377
Belgium,1995,125936.2909
Belgium,1994,124796.7494
Belgium,1993,121423.876
Belgium,1992,122488.488
Belgium,1991,123362.6263
Belgium,1990,120292.7992
Bulgaria,2021,42281.88386
Bulgaria,2020,36533.6134
Bulgaria,2019,42232.71113
Bulgaria,2018,43479.63848
Bulgaria,2017,47430.59117
Bulgaria,2016,45336.94554
Bulgaria,2015,48121.01548
Bulgaria,2014,45161.7896
Bulgaria,2013,42586.73021
Bulgaria,2012,48289.98159
Bulgaria,2011,53124.75444
Bulgaria,2010,47808.40413
Bulgaria,2009,45759.65291
Bulgaria,2008,54022.47136
Bulgaria,2007,55683.71974
Bulgaria,2006,51836.62865
Bulgaria,2005,50598.17363
Bulgaria,2004,49525.77508
Bulgaria,2003,50473.67509
Bulgaria,2002,46099.35446
Bulgaria,2001,48921.85621
Bulgaria,2000,45413.45742
Bulgaria,1999,46318.4775
Bulgaria,1998,53115.14745
Bulgaria,1997,55809.07347
Bulgaria,1996,58460.09661
Bulgaria,1995,57908.98889
Bulgaria,1994,56367.03859
Bulgaria,1993,58364.0238
Bulgaria,1992,57306.46378
Bulgaria,1991,61456.34289
Bulgaria,1990,76637.98583
Canada,2021,537173.737
Canada,2020,522845.2956
Canada,2019,578587.7182
Canada,2018,577066.2847
Canada,2017,566651.8923
Canada,2016,557689.7272
Canada,2015,570680.3309
Canada,2014,566353.0173
Canada,2013,569539.7433
Canada,2012,565781.7283
Canada,2011,565254.013
Canada,2010,556062.0985
Canada,2009,544139.6606
Canada,2008,576808.6571
Canada,2007,593755.2544
Canada,2006,568584.5091
Canada,2005,574763.6461
Canada,2004,579689.4216
Canada,2003,581427.1724
Canada,2002,564373.8359
Canada,2001,559147.0403
Canada,2000,567096.1006
Canada,1999,544482.0788
Canada,1998,530276.2727
Canada,1997,522577.2904
Canada,1996,508196.6635
Canada,1995,491825.6974
Canada,1994,479033.003
Canada,1993,464554.1707
Canada,1992,464012.8317
Canada,1991,450159.6022
Canada,1990,458503.0952
Croatia,2021,17410.62672
Croatia,2020,16870.52837
Croatia,2019,17857.4455
Croatia,2018,17724.15179
Croatia,2017,18743.99502
Croatia,2016,18109.0144
Croatia,2015,17824.70431
Croatia,2014,17681.56632
Croatia,2013,18432.19101
Croatia,2012,19081.24807
Croatia,2011,20650.17642
Croatia,2010,21018.16793
Croatia,2009,21805.31049
Croatia,2008,23594.39171
Croatia,2007,24859.72101
Croatia,2006,23546.76417
Croatia,2005,23340.03254
Croatia,2004,22884.85975
Croatia,2003,23213.12796
Croatia,2002,21887.29912
Croatia,2001,20782.29664
Croatia,2000,19660.00989
Croatia,1999,20022.37079
Croatia,1998,19011.16913
Croatia,1997,18556.5279
Croatia,1996,17343.67711
Croatia,1995,16815.70484
Croatia,1994,16049.80543
Croatia,1993,16806.46154
Croatia,1992,16369.22204
Croatia,1991,16985.24886
Croatia,1990,22974.68427
